Keyword,Drug Type,Context
Where can I grab some quality goods?,Cocaine,Common phrase referring to cocaine
This plug always comes through with the best,LSD,Common phrase referring to lsd
Where can I grab some quality goods?,Heroin,Common phrase referring to heroin
Looking to grab a little something for the weekend,Methamphetamine,Common phrase referring to methamphetamine
Got any high-grade stuff left?,Cocaine,Common phrase referring to cocaine
Got any high-grade stuff left?,Cocaine,Common phrase referring to cocaine
Can you front me a little until next time?,LSD,Common phrase referring to lsd
Can you hook me up with that special package?,Methamphetamine,Common phrase referring to methamphetamine
Trying to stay low-key with this one,LSD,Common phrase referring to lsd
This needs to stay off the radar,Cocaine,Common phrase referring to cocaine
Trying to keep the supply chain steady,Heroin,Common phrase referring to heroin
Looking to roll hard on some good stuff,Opioids,Common phrase referring to opioids
Looking to push some weight this week,LSD,Common phrase referring to lsd
Where can I grab some quality goods?,Benzodiazepines,Common phrase referring to benzodiazepines
This is the best quality I’ve had in a while,LSD,Common phrase referring to lsd
"This batch needs to be pure, no cut",MDMA,Common phrase referring to mdma
"This batch needs to be pure, no cut",Methamphetamine,Common phrase referring to methamphetamine
Trying to find something top-tier,Cocaine,Common phrase referring to cocaine
This new supplier has the purest product,Cocaine,Common phrase referring to cocaine
Trying to stay low-key with this one,LSD,Common phrase referring to lsd
Got any solid connects in this area?,LSD,Common phrase referring to lsd
I know a guy who gets it straight from the source,Opioids,Common phrase referring to opioids
This is the best quality I’ve had in a while,Fentanyl,Common phrase referring to fentanyl
This is the best quality I’ve had in a while,Benzodiazepines,Common phrase referring to benzodiazepines
This new supplier has the purest product,Marijuana,Common phrase referring to marijuana
Looking to grab a little something for the weekend,Methamphetamine,Common phrase referring to methamphetamine
Trying to find something top-tier,MDMA,Common phrase referring to mdma
This needs to stay off the radar,MDMA,Common phrase referring to mdma
Trying to keep the supply chain steady,Cocaine,Common phrase referring to cocaine
This is the best quality I’ve had in a while,Cocaine,Common phrase referring to cocaine
This plug always comes through with the best,Methamphetamine,Common phrase referring to methamphetamine
"My stash is running low, need to re-up",Cocaine,Common phrase referring to cocaine
I know a guy who gets it straight from the source,Methamphetamine,Common phrase referring to methamphetamine
I know a guy who gets it straight from the source,Heroin,Common phrase referring to heroin
Trying to stay low-key with this one,Cocaine,Common phrase referring to cocaine
Can you front me a little until next time?,Heroin,Common phrase referring to heroin
Got any high-grade stuff left?,Heroin,Common phrase referring to heroin
This plug always comes through with the best,Heroin,Common phrase referring to heroin
Where can I grab some quality goods?,Fentanyl,Common phrase referring to fentanyl
